ID,Name,FiscalYear,FiscalYearEnd,Revenue,USFEIN,SSN,InputAddressAL,InputAddressCity,InputAddressState,InputAddressZipCode,InputAddressCountry,NewInTY22,FinalInTY22,K1DueJune30,FromADVPF,ENableTaxSoftware,Website,ChainID,FDN_Category2,FDN_Country,FDN_Currency,FDN_EntityStructure,FDN_EntityType,FDN_GeographyType,FDN_Industry,FDN_Region,FDN_Strategy,FDN_Status
693,Anderson Ventures SA,False,30-Jun,4780839,20-5193922,672-58-5381,2094 Cherry Ave,Austin,TX,65496,US,Yes,No,No,Yes,Yes,https://www.anderson-ventures-sa.com,95,Fund-Related,US,USD,SA,Organization,Domestic,eCommerce,North America,Global Convertibles,Active
694,Johnson Management SARL,False,31-Mar,3571089,61-8633492,101-94-8889,7570 Market St,Guadalajara,,77952,MX,No,Yes,No,No,No,https://www.johnson-management-sarl.com,96,Portfolio Company-Related,MX,MXN,SARL,Individual,International,Construction,North America,Global Credit,Active
695,Rossi Enterprises LLC,True,31-Dec,1601447,81-4909282,204-62-6258,1632 Elm Rd,Muscat,,47572,OM,Yes,Yes,No,No,Yes,https://www.rossi-enterprises-llc.com,97,Fund-Related,OM,OMR,LLC,Partnership,International,Finance,Middle East,Global Convertibles,Active
696,Silva Group SARL,False,31-Dec,2868240,87-2228175,164115978046186,7358 Elm Dr,Lyon,,91889,FR,No,Yes,No,No,Yes,https://www.silva-group-sarl.com,98,Portfolio Company-Related,FR,EUR,SARL,Public Sector Undertaking,International,Construction,Europe,US Private Debt,Draft
697,Garcia Advisors SARL,False,31-Mar,4303893,13-3012613,552-39-4351,1244 Park Ave,Vancouver,,Q8R 1Z4,CA,Yes,No,Yes,No,No,https://www.garcia-advisors-sarl.com,99,Deal-Related,CA,CAD,SARL,Public Sector Undertaking,Domestic,Healthcare,North America,Global Convertibles,Active
698,Rossi International SA,False,31-Dec,4499780,35-2321942,356-16-7873,6082 Walnut Ave,Tel Aviv,,26341,QA,Yes,No,Yes,Yes,No,https://www.rossi-international-sa.com,100,Deal-Related,QA,QAR,SA,Public Sector Undertaking,Domestic,eCommerce,Middle East,European Senior Loans,Pending Validation
699,Müller Holdings Pvt Ltd,True,31-Mar,2357286,71-3582959,293-94-7778,7837 Center Rd,Madrid,,32599,AT,Yes,Yes,No,Yes,Yes,https://www.mller-holdings-pvt-ltd.com,101,Portfolio Company-Related,AT,EUR,Private Company,Individual,Domestic,Software Development,Europe,US Private Debt,Pending Validation
700,Schmidt Services SARL,True,31-Mar,3698755,83-6401281,180-17-5478,5701 Market Way,Madrid,,39716,BE,Yes,No,Yes,No,Yes,https://www.schmidt-services-sarl.com,102,Portfolio Company-Related,BE,EUR,SARL,Partnership,Domestic,Construction,Europe,Global Credit,Draft
701,Thomas Partners SA,True,30-Jun,1855313,15-5312100,688-26-7223,4267 Park Blvd,Jeddah,,83726,OM,No,Yes,No,Yes,Yes,https://www.thomas-partners-sa.com,103,Deal-Related,OM,OMR,SA,Private Company,International,eCommerce,Middle East,US Private Debt,Draft
702,Taylor Partners,False,31-Mar,4150731,10-4375250,492-40-7319,4375 Highland Ln,São Paulo,,44282,UY,No,Yes,No,No,Yes,https://www.taylor-partners.com,104,Fund-Related,UY,UYU,LLC,Public Sector Undertaking,Domestic,Healthcare,South America,Global Credit,Draft
703,Kowalski International SARL,False,31-Dec,3186112,12-1561176,401-38-6625,3987 Riverside Dr,Muscat,,82544,OM,No,No,No,No,Yes,https://www.kowalski-international-sarl.com,105,Fund-Related,OM,OMR,SARL,Public Sector Undertaking,International,Finance,Middle East,Global Convertibles,Draft
704,Costa Holdings,True,31-Mar,3690220,10-8877176,112-10-5355,6304 Riverside St,Stockholm,,83841,AT,Yes,No,Yes,Yes,No,https://www.costa-holdings.com,106,Deal-Related,AT,EUR,Private Company,Corporation,Domestic,Software Development,Europe,European Senior Loans,Active
705,Thomas Management Ltd,True,31-Mar,958285,86-7860310,877-77-8154,1844 Lake Ct,Lima,,28124,BR,Yes,Yes,No,No,Yes,https://www.thomas-management-ltd.com,107,Portfolio Company-Related,BR,BRL,Limited Company,Individual,Domestic,Software Development,South America,US Private Debt,Active
706,Anderson Capital SARL,True,30-Jun,4283175,54-5501091,790-30-1412,6445 Park St,Miami,MI,80657,US,Yes,Yes,Yes,Yes,No,https://www.anderson-capital-sarl.com,108,Deal-Related,US,USD,SARL,Individual,International,Construction,North America,US Private Debt,Pending Validation
707,Lefevre Management SARL,True,31-Dec,3480524,20-9369856,871-11-6662,3572 Elm Dr,Bogotá,,41334,BR,No,Yes,No,No,Yes,https://www.lefevre-management-sarl.com,109,Deal-Related,BR,BRL,SARL,Individual,Domestic,Construction,South America,Global Convertibles,Active
708,Silva Solutions SA,False,30-Jun,4681207,59-6993768,789-93-5902,7739 Washington Rd,Bogotá,,21297,CO,No,Yes,No,No,No,https://www.silva-solutions-sa.com,110,Fund-Related,CO,COP,SA,Partnership,Domestic,Software Development,South America,US Private Debt,Active
709,Martin Ventures SA,True,31-Dec,1816013,76-2539743,146022103151027,5015 Main Dr,Nice,,91515,FR,Yes,Yes,No,Yes,No,https://www.martin-ventures-sa.com,111,Deal-Related,FR,EUR,SA,Partnership,Domestic,eCommerce,Europe,Global Credit,Draft
710,White Investments SA,False,30-Sep,2693961,92-0866635,411-24-4411,5957 Sunset Dr,Montevideo,,42370,EC,No,Yes,No,No,No,https://www.white-investments-sa.com,112,Deal-Related,EC,USD,SA,Private Company,Domestic,Healthcare,South America,Global Credit,Active
711,Lefevre Management LLC,False,30-Sep,3289865,59-3101792,479-58-6052,3057 Broad St,Brussels,,67637,PT,Yes,Yes,No,No,Yes,https://www.lefevre-management-llc.com,113,Fund-Related,PT,EUR,LLC,Private Company,Domestic,eCommerce,Europe,Global Credit,Active
712,Brown Management,False,30-Jun,3286495,53-4954178,805-66-5417,7379 Sunset Ln,San Jose,AZ,28352,US,No,No,No,Yes,No,https://www.brown-management.com,114,Portfolio Company-Related,US,USD,Private Company,Organization,International,Healthcare,North America,US Private Debt,Draft
713,Müller Industries SARL,False,31-Dec,4355655,80-7481188,262-70-7373,4247 Hill Ln,Tel Aviv,,73517,IL,No,Yes,No,No,No,https://www.mller-industries-sarl.com,115,Deal-Related,IL,ILS,SARL,Organization,International,Construction,Middle East,Global Credit,Pending Validation
714,Taylor Capital Ltd,False,30-Jun,1553130,27-0498677,201-16-1117,8162 Oak Blvd,Montevideo,,89244,PE,No,No,Yes,No,No,https://www.taylor-capital-ltd.com,116,Fund-Related,PE,PEN,Limited Company,Public Sector Undertaking,Domestic,eCommerce,South America,Global Credit,Active
715,Kowalski Capital SARL,True,30-Sep,1012864,60-4711603,575-93-5594,4973 Walnut Dr,Bogotá,,71592,BR,No,Yes,No,No,Yes,https://www.kowalski-capital-sarl.com,117,Fund-Related,BR,BRL,SARL,Corporation,International,Finance,South America,US Private Debt,Draft
716,Martin Advisors Ltd,True,30-Jun,3008682,44-4815809,761-30-4201,9851 Hill Way,Jeddah,,24884,SA,No,No,No,Yes,Yes,https://www.martin-advisors-ltd.com,118,Deal-Related,SA,SAR,Limited Company,Organization,Domestic,Software Development,Middle East,Global Convertibles,Draft
717,Silva Investments SARL,True,31-Mar,4022024,74-5194113,683-89-3185,2870 Lake Ave,Guadalajara,,39232,MX,Yes,No,Yes,No,Yes,https://www.silva-investments-sarl.com,119,Deal-Related,MX,MXN,SARL,Organization,International,Construction,North America,Global Credit,Draft
718,Garcia Advisors SARL,True,30-Sep,2884087,18-8801594,346-27-7782,311 Maple St,Doha,,62819,IL,Yes,Yes,Yes,Yes,No,https://www.garcia-advisors-sarl.com,120,Fund-Related,IL,ILS,SARL,Private Company,Domestic,eCommerce,Middle East,Global Convertibles,Pending Validation
719,Martin Industries,True,31-Dec,4882034,50-2847389,402-30-1116,4590 Spruce Dr,Lima,,21695,AR,No,Yes,Yes,No,Yes,https://www.martin-industries.com,121,Deal-Related,AR,ARS,LLC,Partnership,International,eCommerce,South America,European Senior Loans,Draft
720,Silva Group SARL,True,30-Sep,3256625,94-7765820,283-33-6438,742 Pine Way,Bogotá,,51149,AR,Yes,Yes,Yes,Yes,No,https://www.silva-group-sarl.com,122,Portfolio Company-Related,AR,ARS,SARL,Organization,International,Construction,South America,Global Convertibles,Draft
721,Jackson Investments Ltd,False,31-Dec,2024635,44-2505186,261-45-1875,250 Willow Pl,Tijuana,,23418,MX,Yes,No,Yes,Yes,Yes,https://www.jackson-investments-ltd.com,123,Portfolio Company-Related,MX,MXN,Limited Company,Private Company,International,Finance,North America,Global Convertibles,Draft
722,White Investments SARL,False,31-Mar,4459979,99-5541983,432-68-7987,496 Pine Ct,Mexico City,,56064,MX,Yes,Yes,No,Yes,No,https://www.white-investments-sarl.com,124,Fund-Related,MX,MXN,SARL,Public Sector Undertaking,Domestic,eCommerce,North America,Global Convertibles,Pending Validation
723,Martin Enterprises LLC,False,31-Mar,1909805,84-9489146,144053768380492,9385 Elm Way,Bordeaux,,42457,FR,Yes,No,No,Yes,Yes,https://www.martin-enterprises-llc.com,125,Fund-Related,FR,EUR,LLC,Public Sector Undertaking,Domestic,eCommerce,Europe,European Senior Loans,Active
724,Taylor Industries Pvt Ltd,True,31-Dec,2919108,85-5418889,481-82-6191,9641 Maple Dr,Abu Dhabi,,92506,KW,No,Yes,Yes,No,No,https://www.taylor-industries-pvt-ltd.com,126,Deal-Related,KW,KWD,Private Company,Corporation,Domestic,Construction,Middle East,European Senior Loans,Draft
725,Taylor Advisors SARL,True,30-Sep,1665740,61-9907906,204-31-1060,5960 Lake Dr,Jeddah,,87982,AE,No,No,No,No,No,https://www.taylor-advisors-sarl.com,127,Deal-Related,AE,AED,SARL,Organization,Domestic,Construction,Middle East,European Senior Loans,Draft
726,Costa Group SARL,False,30-Jun,3127996,19-7584017,276-66-1438,5237 Park Ave,Ottawa,,R4J 2W2,CA,Yes,No,Yes,No,No,https://www.costa-group-sarl.com,128,Portfolio Company-Related,CA,CAD,SARL,Partnership,Domestic,Healthcare,North America,US Private Debt,Active
727,Moreau International SARL,True,30-Jun,997397,32-1249382,291-32-8418,1956 Main St,Manama,,46583,BH,No,No,Yes,Yes,Yes,https://www.moreau-international-sarl.com,129,Fund-Related,BH,BHD,SARL,Partnership,Domestic,Software Development,Middle East,Global Convertibles,Active
728,Kowalski Management,True,31-Mar,1637335,54-5556541,500-85-6836,4527 Riverside Rd,São Paulo,,85958,AR,No,No,No,Yes,Yes,https://www.kowalski-management.com,130,Portfolio Company-Related,AR,ARS,Private Company,Organization,International,Finance,South America,Global Credit,Draft
729,Anderson Ventures,True,30-Sep,3811527,80-8004435,477-28-5165,6145 Walnut St,Montevideo,,94715,PE,No,No,Yes,Yes,Yes,https://www.anderson-ventures.com,131,Fund-Related,PE,PEN,Limited Company,Individual,Domestic,eCommerce,South America,Global Credit,Pending Validation
731,Lefevre Management SA,True,31-Mar,4292263,48-8897844,694-42-2931,770 Riverside Way,Calgary,,V4Z 8T6,CA,No,Yes,Yes,No,No,https://www.lefevre-management-sa.com,132,Fund-Related,CA,CAD,SA,Corporation,International,Healthcare,North America,Global Convertibles,Draft
732,Harris Industries SARL,False,30-Jun,4006757,13-7338707,111-90-9720,2508 Oak Pl,Madrid,,84946,SE,Yes,Yes,No,Yes,Yes,https://www.harris-industries-sarl.com,133,Deal-Related,SE,SEK,SARL,Organization,Domestic,Construction,Europe,Global Convertibles,Active
733,Anderson Services Ltd,False,30-Sep,3394730,60-1728209,197-18-7752,8986 Maple St,Montevideo,,78679,CL,No,No,Yes,Yes,No,https://www.anderson-services-ltd.com,134,Deal-Related,CL,CLP,Limited Company,Corporation,International,Finance,South America,US Private Debt,Active
734,Jackson Capital,True,31-Mar,1420895,79-8515120,324-69-3409,4529 Maple Rd,Rio de Janeiro,,29558,BR,Yes,Yes,No,No,Yes,https://www.jackson-capital.com,135,Fund-Related,BR,BRL,SA,Partnership,International,Software Development,South America,US Private Debt,Pending Validation
735,White Holdings SARL,True,30-Jun,2276665,15-9601085,250-17-2725,4232 Washington Pl,Manama,,88558,OM,No,No,No,Yes,Yes,https://www.white-holdings-sarl.com,136,Portfolio Company-Related,OM,OMR,SARL,Corporation,Domestic,eCommerce,Middle East,Global Credit,Active
736,Silva Holdings LLC,False,31-Mar,1774250,40-3866952,325-89-9890,9349 Sunset Pl,Lima,,40980,CO,Yes,Yes,Yes,Yes,No,https://www.silva-holdings-llc.com,137,Deal-Related,CO,COP,LLC,Organization,International,Software Development,South America,US Private Debt,Draft
737,Martin International,True,30-Sep,4615138,19-2620107,126-28-7894,882 Market Ave,Monterrey,,90511,MX,Yes,Yes,Yes,No,Yes,https://www.martin-international.com,138,Fund-Related,MX,MXN,Private Company,Public Sector Undertaking,Domestic,Finance,North America,European Senior Loans,Draft
738,Costa Ventures SARL,False,31-Dec,4225410,40-3892874,194-85-0164,3722 Market Pl,Dubai,,11952,AE,No,Yes,No,Yes,No,https://www.costa-ventures-sarl.com,139,Deal-Related,AE,AED,SARL,Corporation,Domestic,Healthcare,Middle East,Global Credit,Active
739,Jackson Holdings Ltd,True,31-Dec,3960907,36-8995078,113-94-2930,7461 Riverside Pl,Rio de Janeiro,,29612,CO,No,Yes,No,Yes,No,https://www.jackson-holdings-ltd.com,140,Deal-Related,CO,COP,Limited Company,Individual,Domestic,Healthcare,South America,Global Convertibles,Active
740,Garcia Group Ltd,False,30-Sep,837697,14-7238024,124-98-2735,1197 Elm Pl,Caracas,,60870,BR,No,Yes,No,No,Yes,https://www.garcia-group-ltd.com,141,Fund-Related,BR,BRL,Limited Company,Corporation,Domestic,Construction,South America,US Private Debt,Pending Validation
741,Silva Group SARL,True,30-Sep,4308730,67-4091349,868-69-9336,6210 Highland St,Quito,,52600,VE,No,No,Yes,Yes,Yes,https://www.silva-group-sarl.com,142,Fund-Related,VE,VES,SARL,Organization,Domestic,eCommerce,South America,Global Convertibles,Draft
742,Schmidt Management SA,True,31-Mar,3729988,19-3295478,589-24-7240,1367 Center Rd,Abu Dhabi,,81089,SA,No,Yes,No,Yes,No,https://www.schmidt-management-sa.com,143,Deal-Related,SA,SAR,SA,Individual,International,eCommerce,Middle East,Global Credit,Pending Validation
743,Anderson Investments Ltd,True,30-Jun,4759382,45-7339206,150-42-0050,7100 Broad Blvd,Toronto,,Z0X 7Q4,CA,No,Yes,No,Yes,No,https://www.anderson-investments-ltd.com,144,Fund-Related,CA,CAD,Limited Company,Organization,Domestic,eCommerce,North America,US Private Debt,Draft
744,Anderson Enterprises SARL,False,31-Mar,4004589,15-1943280,347-48-9085,82 Cherry Ct,Santiago,,54906,VE,Yes,Yes,Yes,No,Yes,https://www.anderson-enterprises-sarl.com,145,Deal-Related,VE,VES,SARL,Individual,International,Finance,South America,US Private Debt,Draft
745,Silva Ventures Pvt Ltd,True,30-Jun,2479965,76-0770553,510-18-7620,4626 Riverside Dr,Rio de Janeiro,,82494,UY,No,Yes,No,No,No,https://www.silva-ventures-pvt-ltd.com,146,Deal-Related,UY,UYU,Private Company,Corporation,International,Software Development,South America,Global Convertibles,Pending Validation
746,Harris Group,True,31-Dec,2427468,75-5658708,858-95-4581,8870 Highland Way,Lima,,51592,VE,Yes,Yes,No,No,Yes,https://www.harris-group.com,147,Portfolio Company-Related,VE,VES,SA,Public Sector Undertaking,International,Software Development,South America,US Private Debt,Draft
747,Dubois Ventures LLC,True,30-Jun,2396328,61-1823906,578-79-1296,7607 Oak Rd,Buenos Aires,,98871,CO,Yes,No,Yes,No,Yes,https://www.dubois-ventures-llc.com,148,Deal-Related,CO,COP,LLC,Partnership,Domestic,Healthcare,South America,European Senior Loans,Active
748,Anderson Industries SA,True,31-Mar,1383550,39-3503204,306-48-2675,6952 Sunset Rd,Amsterdam,,56575,AT,No,Yes,No,Yes,No,https://www.anderson-industries-sa.com,149,Deal-Related,AT,EUR,SA,Corporation,International,Healthcare,Europe,European Senior Loans,Active
749,Müller Group LLC,True,30-Jun,3016918,56-4014060,770-10-2579,1423 Sunset Way,Lima,,97773,VE,Yes,Yes,No,No,No,https://www.mller-group-llc.com,150,Fund-Related,VE,VES,LLC,Partnership,Domestic,Finance,South America,Global Credit,Pending Validation
750,White Group SA,False,30-Jun,4172796,64-3328808,585-23-8230,2969 Lake Blvd,Jeddah,,25789,OM,No,Yes,Yes,Yes,Yes,https://www.white-group-sa.com,151,Fund-Related,OM,OMR,SA,Partnership,Domestic,eCommerce,Middle East,US Private Debt,Active
751,Smith International Pvt Ltd,False,30-Jun,4992527,89-6108168,894-89-3912,5255 Pine Pl,Puebla,,34886,MX,No,No,No,No,Yes,https://www.smith-international-pvt-ltd.com,152,Portfolio Company-Related,MX,MXN,Private Company,Public Sector Undertaking,International,Finance,North America,US Private Debt,Pending Validation
752,Schmidt Capital LLC,False,31-Mar,3488739,54-6716663,181-81-5131,8091 Willow St,Puebla,,49117,MX,Yes,Yes,Yes,Yes,Yes,https://www.schmidt-capital-llc.com,153,Fund-Related,MX,MXN,LLC,Corporation,International,Healthcare,North America,Global Convertibles,Pending Validation
753,Moreau Industries Ltd,False,31-Dec,4841306,52-2270615,268-77-7763,161 Highland Way,Guadalajara,,29706,MX,Yes,No,No,Yes,Yes,https://www.moreau-industries-ltd.com,154,Deal-Related,MX,MXN,Limited Company,Individual,Domestic,eCommerce,North America,US Private Debt,Active
754,Lefevre Partners SA,True,31-Mar,3538589,54-6383657,167-93-0020,3517 Spruce Dr,Riyadh,,86475,SA,Yes,No,Yes,No,No,https://www.lefevre-partners-sa.com,155,Deal-Related,SA,SAR,SA,Private Company,Domestic,Software Development,Middle East,European Senior Loans,Active
755,Jackson Advisors LLC,False,30-Sep,4366911,14-9085687,881-54-0425,9974 Highland Ln,Santiago,,13584,VE,No,No,No,No,No,https://www.jackson-advisors-llc.com,156,Portfolio Company-Related,VE,VES,LLC,Partnership,International,Construction,South America,Global Credit,Active
756,Anderson Investments SARL,False,31-Mar,1151799,28-1648387,628-96-2174,3362 Maple Ct,Montevideo,,78464,BR,No,Yes,Yes,No,Yes,https://www.anderson-investments-sarl.com,157,Deal-Related,BR,BRL,SARL,Individual,International,Healthcare,South America,Global Credit,Draft
757,Martin Enterprises SARL,True,31-Mar,3013500,66-0684054,351-80-2539,4486 Oak Ct,Santiago,,38701,CL,No,Yes,Yes,No,No,https://www.martin-enterprises-sarl.com,158,Deal-Related,CL,CLP,SARL,Corporation,International,Software Development,South America,US Private Debt,Active
758,Dubois Enterprises SARL,False,31-Dec,3526796,61-0349914,432-31-7538,5929 Pine Way,Rio de Janeiro,,41891,BR,No,No,Yes,No,Yes,https://www.dubois-enterprises-sarl.com,159,Portfolio Company-Related,BR,BRL,SARL,Corporation,International,Finance,South America,Global Credit,Draft
759,Martin Services Pvt Ltd,True,30-Jun,4094493,78-3996614,398-15-2427,4551 Elm Ln,São Paulo,,94202,PE,No,No,Yes,No,Yes,https://www.martin-services-pvt-ltd.com,160,Deal-Related,PE,PEN,Private Company,Partnership,Domestic,Healthcare,South America,Global Convertibles,Pending Validation
760,Smith Holdings SARL,False,31-Mar,4456611,83-7214533,347-81-6412,3157 Willow Way,Dubai,,85740,AE,Yes,No,Yes,Yes,Yes,https://www.smith-holdings-sarl.com,161,Deal-Related,AE,AED,SARL,Corporation,International,Software Development,Middle East,European Senior Loans,Draft
761,Müller Partners LLC,True,30-Jun,2384888,45-3333354,805-74-6705,2834 Oak Ln,Bogotá,,83473,BR,No,Yes,Yes,Yes,Yes,https://www.mller-partners-llc.com,162,Deal-Related,BR,BRL,LLC,Partnership,International,Construction,South America,Global Credit,Pending Validation
762,Anderson Solutions,True,30-Sep,3787198,21-7245685,198-57-2131,9116 Maple Pl,Tijuana,,53207,MX,Yes,No,No,No,Yes,https://www.anderson-solutions.com,163,Deal-Related,MX,MXN,Private Company,Private Company,International,eCommerce,North America,European Senior Loans,Pending Validation
763,Müller Industries Ltd,False,31-Mar,1224587,27-7812859,724-99-1008,5570 Maple Ln,Berlin,,48191,BE,No,No,Yes,No,Yes,https://www.mller-industries-ltd.com,164,Deal-Related,BE,EUR,Limited Company,Individual,Domestic,Software Development,Europe,Global Convertibles,Active
764,Smith Partners Pvt Ltd,True,31-Dec,4754749,51-2751363,835-25-1494,1871 Broad Dr,Rio de Janeiro,,78657,EC,Yes,No,Yes,Yes,Yes,https://www.smith-partners-pvt-ltd.com,165,Fund-Related,EC,USD,Private Company,Public Sector Undertaking,Domestic,Construction,South America,European Senior Loans,Active
765,Dubois Investments SA,True,30-Jun,4958863,45-1022699,670-85-2869,7000 Walnut Ct,Mexico City,,55143,MX,No,No,Yes,No,No,https://www.dubois-investments-sa.com,166,Portfolio Company-Related,MX,MXN,SA,Organization,International,Finance,North America,Global Convertibles,Pending Validation
766,Silva Solutions Ltd,False,30-Jun,4472556,20-4495824,257-58-2527,6384 Highland Dr,Rio de Janeiro,,21995,EC,Yes,Yes,Yes,No,No,https://www.silva-solutions-ltd.com,167,Fund-Related,EC,USD,Limited Company,Organization,International,eCommerce,South America,Global Convertibles,Active
767,Thomas Solutions Pvt Ltd,True,31-Dec,3364276,37-6909008,438-22-1453,8253 Spruce Rd,Stockholm,,46394,PT,Yes,Yes,Yes,Yes,No,https://www.thomas-solutions-pvt-ltd.com,168,Fund-Related,PT,EUR,Private Company,Individual,International,eCommerce,Europe,European Senior Loans,Pending Validation
768,Harris Enterprises SARL,False,30-Sep,1341058,67-5451176,849-82-2118,3464 Maple Ln,Vienna,,17279,PT,Yes,Yes,No,Yes,Yes,https://www.harris-enterprises-sarl.com,169,Deal-Related,PT,EUR,SARL,Public Sector Undertaking,International,Healthcare,Europe,European Senior Loans,Draft
769,Kowalski Services SA,True,30-Sep,4678536,94-8798778,632-66-5192,4411 Lake Ln,Jeddah,,53081,BH,Yes,Yes,No,No,No,https://www.kowalski-services-sa.com,170,Fund-Related,BH,BHD,SA,Individual,Domestic,Construction,Middle East,Global Convertibles,Pending Validation
770,Brown Enterprises LLC,True,31-Dec,2904921,79-6263217,670-43-7829,1095 Washington Way,Abu Dhabi,,83356,AE,No,Yes,No,Yes,Yes,https://www.brown-enterprises-llc.com,171,Deal-Related,AE,AED,LLC,Partnership,Domestic,Software Development,Middle East,Global Convertibles,Active
771,Rossi Solutions LLC,True,30-Jun,2865722,89-0179145,852-83-0314,4960 Main Rd,Quito,,59809,UY,No,No,No,Yes,No,https://www.rossi-solutions-llc.com,172,Deal-Related,UY,UYU,LLC,Private Company,International,Construction,South America,Global Convertibles,Draft
772,Thomas Industries SARL,False,31-Dec,4611351,58-5918393,884-46-5250,1007 Oak St,Buenos Aires,,58026,VE,No,No,No,No,No,https://www.thomas-industries-sarl.com,173,Portfolio Company-Related,VE,VES,SARL,Individual,Domestic,eCommerce,South America,European Senior Loans,Active
773,Moreau Capital Pvt Ltd,False,31-Mar,1779085,64-9473594,474-88-4514,6512 Lake Way,Caracas,,83080,CO,No,No,No,Yes,Yes,https://www.moreau-capital-pvt-ltd.com,174,Deal-Related,CO,COP,Private Company,Public Sector Undertaking,International,Finance,South America,European Senior Loans,Draft
774,Schmidt Holdings SARL,True,30-Sep,2121783,65-5557798,679-22-8653,698 Hill Rd,Quito,,45532,EC,No,Yes,Yes,Yes,No,https://www.schmidt-holdings-sarl.com,175,Deal-Related,EC,USD,SARL,Individual,International,Finance,South America,Global Credit,Active
775,Harris Group Ltd,True,31-Mar,4271648,58-5464089,671-81-3267,3523 Willow Pl,San Diego,LA,24003,US,No,Yes,No,No,Yes,https://www.harris-group-ltd.com,176,Deal-Related,US,USD,Limited Company,Partnership,Domestic,eCommerce,North America,European Senior Loans,Pending Validation
776,Kowalski Services,True,30-Sep,1119709,36-0445758,130-85-1748,5482 Market Ave,Prague,,26765,PT,No,No,No,No,Yes,https://www.kowalski-services.com,177,Portfolio Company-Related,PT,EUR,SA,Public Sector Undertaking,Domestic,Software Development,Europe,European Senior Loans,Draft
777,Moreau Services,True,31-Mar,1083323,49-4475796,527-25-8013,7587 Center Rd,Riyadh,,61522,SA,No,No,Yes,Yes,No,https://www.moreau-services.com,178,Deal-Related,SA,SAR,Limited Company,Private Company,Domestic,Finance,Middle East,Global Convertibles,Draft
778,Dubois Industries SARL,False,30-Sep,4791629,48-4322520,209-28-9093,3664 Hill Rd,Dublin,,30087,IE,No,No,Yes,Yes,Yes,https://www.dubois-industries-sarl.com,179,Portfolio Company-Related,IE,EUR,SARL,Private Company,International,Construction,Europe,European Senior Loans,Draft
779,Anderson Enterprises Ltd,True,30-Sep,4527347,79-3453773,606-55-3609,7267 Riverside Dr,Tijuana,,48362,MX,No,No,No,No,Yes,https://www.anderson-enterprises-ltd.com,180,Deal-Related,MX,MXN,Limited Company,Private Company,International,eCommerce,North America,Global Credit,Active
780,Jackson Enterprises SARL,False,30-Sep,3317670,78-9446941,171-48-1469,6477 Cedar Blvd,Tijuana,,46629,MX,No,No,Yes,No,No,https://www.jackson-enterprises-sarl.com,181,Deal-Related,MX,MXN,SARL,Private Company,International,eCommerce,North America,Global Convertibles,Pending Validation
781,Anderson Services LLC,False,30-Jun,982058,62-1248178,643-56-1230,8164 Riverside Ln,Lisbon,,12979,DE,Yes,No,Yes,Yes,No,https://www.anderson-services-llc.com,182,Fund-Related,DE,EUR,LLC,Private Company,International,Software Development,Europe,Global Credit,Active
782,Lefevre Ventures SA,False,31-Dec,3396151,10-3889479,321-21-2400,2349 Washington Ct,Dubai,,52380,IL,No,No,No,Yes,Yes,https://www.lefevre-ventures-sa.com,183,Deal-Related,IL,ILS,SA,Individual,Domestic,Finance,Middle East,European Senior Loans,Draft
783,Lefevre Industries SA,False,31-Dec,1397717,46-4390715,329-10-3181,5024 Willow Ave,Prague,,85623,PT,Yes,Yes,No,Yes,No,https://www.lefevre-industries-sa.com,184,Deal-Related,PT,EUR,SA,Private Company,International,Finance,Europe,European Senior Loans,Active
784,Jackson Investments LLC,False,31-Mar,3286254,22-0832744,502-83-9005,8044 Elm St,Kuwait City,,10500,AE,Yes,Yes,Yes,Yes,No,https://www.jackson-investments-llc.com,185,Deal-Related,AE,AED,LLC,Private Company,International,Finance,Middle East,European Senior Loans,Active
785,Lefevre Advisors SA,False,30-Jun,1863045,98-3725976,533-67-7226,4796 Market Blvd,Mexico City,,27004,MX,Yes,Yes,Yes,Yes,Yes,https://www.lefevre-advisors-sa.com,186,Portfolio Company-Related,MX,MXN,SA,Individual,Domestic,eCommerce,North America,Global Convertibles,Active
786,Harris International SARL,True,31-Mar,3054748,54-2886654,611-21-5468,5764 Willow Pl,Amsterdam,,51488,BE,No,Yes,No,Yes,No,https://www.harris-international-sarl.com,187,Deal-Related,BE,EUR,SARL,Organization,Domestic,Construction,Europe,Global Convertibles,Pending Validation
787,Jackson Services Pvt Ltd,True,30-Sep,2664225,92-9683615,271-85-5705,394 Pine Ln,Santiago,,72648,AR,No,No,Yes,Yes,No,https://www.jackson-services-pvt-ltd.com,188,Portfolio Company-Related,AR,ARS,Private Company,Partnership,Domestic,Healthcare,South America,US Private Debt,Active
788,Smith Management SA,True,31-Mar,1287138,15-6096391,509-75-7209,7022 Cedar Ave,Rome,,44406,SE,No,Yes,Yes,No,Yes,https://www.smith-management-sa.com,189,Portfolio Company-Related,SE,SEK,SA,Organization,Domestic,Software Development,Europe,Global Convertibles,Draft
789,White Holdings SA,True,30-Sep,2293434,72-0709427,260-46-4939,398 Hill Rd,São Paulo,,45711,CO,No,Yes,Yes,Yes,No,https://www.white-holdings-sa.com,190,Deal-Related,CO,COP,SA,Organization,International,Construction,South America,US Private Debt,Pending Validation
